id,bin,triplet_type,median_rt
1lb7tbr7,5,L,335.7000000178814
1lb7tbr7,6,H,331.40000000596046
1lb7tbr7,6,L,350.2000000178814
1xqec919,1,H,461.699999988079
1xqec919,1,L,454.7500000298023
1xqec919,2,H,430.80000001192093
1xqec919,2,L,454.15000000596046
1xqec919,3,H,398.9000000357628
1xqec919,3,L,414.300000011921
1xqec919,4,H,343.84999999403954
1xqec919,4,L,364.85000002384186
1xqec919,5,H,337.19999998807907
1xqec919,5,L,336.5
1xqec919,6,H,340
1xqec919,6,L,326
21xapnnh,1,H,409.2000000476837
21xapnnh,1,L,405.85000014305115
21xapnnh,2,H,392.7999999523163
21xapnnh,2,L,367.8000000715256
21xapnnh,3,H,365.35000002384186
21xapnnh,3,L,361.7499998807907
21xapnnh,4,H,340.0500000715256
21xapnnh,4,L,342.0500000715256
21xapnnh,5,H,369.5499999523163
21xapnnh,5,L,358.0499999523163
21xapnnh,6,H,376.7999999523163
21xapnnh,6,L,364.7999999523163
23h7rpbu,1,H,359.89999997615814
23h7rpbu,1,L,343.7000000476837
23h7rpbu,2,H,360.0499999523163
23h7rpbu,2,L,373.2999999523163
23h7rpbu,3,H,352.3000000715256
23h7rpbu,3,L,380.40000009536743
23h7rpbu,4,H,328.2999999523163
23h7rpbu,4,L,340.9499999284744
23h7rpbu,5,H,339.5
23h7rpbu,5,L,335.85000002384186
23h7rpbu,6,H,334.5
23h7rpbu,6,L,348
23rjqvom,1,H,365.15000009536743
23rjqvom,1,L,386.90000009536743
23rjqvom,2,H,356.6000003814697
23rjqvom,2,L,364.25
23rjqvom,3,H,341.80000019073486
23rjqvom,3,L,365.84999990463257
23rjqvom,4,H,341.90000009536743
23rjqvom,4,L,365.5499999523163
23rjqvom,5,H,371.3999996185303
23rjqvom,5,L,356.7000002861023
23rjqvom,6,H,380.30000019073486
23rjqvom,6,L,385.5
29ehzpe0,1,H,377.5
29ehzpe0,1,L,374.5
29ehzpe0,2,H,382
29ehzpe0,2,L,389
29ehzpe0,3,H,370
29ehzpe0,3,L,380
29ehzpe0,4,H,367
29ehzpe0,4,L,371
29ehzpe0,5,H,370
29ehzpe0,5,L,366
29ehzpe0,6,H,366
29ehzpe0,6,L,375
29zpbmmy,1,H,362.199999988079
29zpbmmy,1,L,370.75
29zpbmmy,2,H,387.89999997615814
29zpbmmy,2,L,371.300000011921
29zpbmmy,3,H,359.60000002384186
29zpbmmy,3,L,366.300000011921
29zpbmmy,4,H,328.10000002384186
29zpbmmy,4,L,323.5999999642372
29zpbmmy,5,H,340.9500000178814
29zpbmmy,5,L,350.35000002384186
29zpbmmy,6,H,335.5
29zpbmmy,6,L,340.2000000476837
2davx7nt,1,H,298.0499999523163
2davx7nt,1,L,313.25
2davx7nt,2,H,308.80000001192093
2davx7nt,2,L,310
2davx7nt,3,H,308.7999999523163
2davx7nt,3,L,307.64999997615814
2davx7nt,4,H,300.4000000357628
2davx7nt,4,L,297.59999990463257
2davx7nt,5,H,300.7999999523163
2davx7nt,5,L,313.89999997615814
2davx7nt,6,H,308.1000000834465
2davx7nt,6,L,305.60000002384186
2n6v1k3u,1,H,411.09999999403954
2n6v1k3u,1,L,430.70000000298023
2n6v1k3u,2,H,373.49999998509884
2n6v1k3u,2,L,383.39999997615814
2n6v1k3u,3,H,362.2999999821186
2n6v1k3u,3,L,377.199999988079
2n6v1k3u,4,H,366.25
2n6v1k3u,4,L,380.95000000298023
2n6v1k3u,5,H,387.40000000596046
2n6v1k3u,5,L,379.5
2n6v1k3u,6,H,373.3999999910593
2n6v1k3u,6,L,379.09999999403954
2v42ipxy,1,H,450.5499999821186
2v42ipxy,1,L,484.2000000178814
2v42ipxy,2,H,430.90000000596046
2v42ipxy,2,L,426.89999997615814
2v42ipxy,3,H,414.89999997615814
2v42ipxy,3,L,446.5
2v42ipxy,4,H,371.90000000596046
2v42ipxy,4,L,381.25
2v42ipxy,5,H,394.300000011921
2v42ipxy,5,L,405.29999999701977
2v42ipxy,6,H,377.59999999403954
2v42ipxy,6,L,411.3999999910593
2wl27dkz,1,H,328.90000009536743
2wl27dkz,1,L,332
2wl27dkz,2,H,339.59999990463257
2wl27dkz,2,L,351.7000000476837
2wl27dkz,3,H,336.14999997615814
2wl27dkz,3,L,361.59999990463257
2wl27dkz,4,H,308
2wl27dkz,4,L,310.5500000715256
2wl27dkz,5,H,319.7999999523163
2wl27dkz,5,L,318.9499999284744
2wl27dkz,6,H,305.4500000476837
2wl27dkz,6,L,312.5
2xn0szh6,1,H,392.0999999977648
2xn0szh6,1,L,408.79999999701977
2xn0szh6,2,H,399.8999999985099
2xn0szh6,2,L,390.1000000014901
2xn0szh6,3,H,374.5999999977648
2xn0szh6,3,L,399.6000000014901
2xn0szh6,4,H,420.5
2xn0szh6,4,L,425.69999999552965
2xn0szh6,5,H,395.1000000014901
2xn0szh6,5,L,419.1000000014901
2xn0szh6,6,H,430.8499999977648
2xn0szh6,6,L,409.29999999701977
2z10bv6a,1,H,342.7000000476837
2z10bv6a,1,L,332.799999833107
2z10bv6a,2,H,339.19999980926514
2z10bv6a,2,L,337.9500000476837
2z10bv6a,3,H,341
2z10bv6a,3,L,372.2000000476837
2z10bv6a,4,H,315.84999990463257
2z10bv6a,4,L,328.2999999523163
2z10bv6a,5,H,335.90000009536743
2z10bv6a,5,L,331.6999999284744
2z10bv6a,6,H,320.9500000476837
2z10bv6a,6,L,333.7000000476837
2zbxslpn,1,H,386.7000000476837
2zbxslpn,1,L,396.4500000476837
2zbxslpn,2,H,382.7999999523163
2zbxslpn,2,L,384.59999990463257
2zbxslpn,3,H,377.09999990463257
2zbxslpn,3,L,392.85000014305115
2zbxslpn,4,H,353.2000000476837
2zbxslpn,4,L,357.64999985694885
2zbxslpn,5,H,353.9500000476837
2zbxslpn,5,L,353.7000000476837
2zbxslpn,6,H,361.7499998807907
2zbxslpn,6,L,368.69999980926514
30a1bp8j,1,H,382.40000009536743
30a1bp8j,1,L,380.9499999284744
30a1bp8j,2,H,399.5
30a1bp8j,2,L,408
30a1bp8j,3,H,353.0499999523163
30a1bp8j,3,L,368.90000009536743
30a1bp8j,4,H,342.5
30a1bp8j,4,L,330.5000001192093
30a1bp8j,5,H,345.89999985694885
30a1bp8j,5,L,347.2499998807907
30a1bp8j,6,H,353.7999999523163
30a1bp8j,6,L,352.39999985694885
321yl4lz,1,H,382.10000002384186
321yl4lz,1,L,410.4000000357628
321yl4lz,2,H,394.84999999403954
321yl4lz,2,L,411.39999997615814
321yl4lz,3,H,381.5
321yl4lz,3,L,382.39999997615814
321yl4lz,4,H,356.2999999523163
321yl4lz,4,L,384.300000011921
321yl4lz,5,H,377.300000011921
321yl4lz,5,L,385.59999999403954
321yl4lz,6,H,385.09999999403954
321yl4lz,6,L,381.19999995827675
36eh4u39,1,H,393.19999980926514
36eh4u39,1,L,382.80000019073486
36eh4u39,2,H,377
36eh4u39,2,L,380.2999999523163
36eh4u39,3,H,399.90000009536743
36eh4u39,3,L,395
36eh4u39,4,H,339.4500000476837
36eh4u39,4,L,340.25
36eh4u39,5,H,364.5500000715256
36eh4u39,5,L,380.89999997615814
36eh4u39,6,H,362.7000000476837
36eh4u39,6,L,367.59999990463257
38k6v81o,1,H,454.09999990463257
38k6v81o,1,L,459.4500000476837
38k6v81o,2,H,450.2000000476837
38k6v81o,2,L,427.09999990463257
38k6v81o,3,H,415.5
38k6v81o,3,L,419.7999999523163
38k6v81o,4,H,421.89999997615814
38k6v81o,4,L,418.2000000476837
38k6v81o,5,H,439.5000001192093
38k6v81o,5,L,449.80000019073486
38k6v81o,6,H,442.5
38k6v81o,6,L,467.60000014305115
3942ithx,1,H,437.25
3942ithx,1,L,456.0499999821186
3942ithx,2,H,450.9999999701977
3942ithx,2,L,443
3942ithx,3,H,427.199999988079
3942ithx,3,L,448.800000011921
3942ithx,4,H,370.199999988079
3942ithx,4,L,364.84999999403954
3942ithx,5,H,382.2999999821186
3942ithx,5,L,386
3942ithx,6,H,405.60000002384186
3942ithx,6,L,424.2000000178814
3c48ijq4,1,H,350.80000001192093
3c48ijq4,1,L,359.7000000476837
3c48ijq4,2,H,366.84999999403954
3c48ijq4,2,L,356.80000001192093
3c48ijq4,3,H,362.699999988079
3c48ijq4,3,L,366.10000002384186
3c48ijq4,4,H,332.25
3c48ijq4,4,L,337.60000002384186
3c48ijq4,5,H,342
3c48ijq4,5,L,334
3c48ijq4,6,H,332.60000002384186
3c48ijq4,6,L,342.90000000596046
3o6c5jme,1,H,340.80000001192093
3o6c5jme,1,L,335.8000000715256
3o6c5jme,2,H,341.39999997615814
3o6c5jme,2,L,353.10000002384186
3o6c5jme,3,H,330.0999999642372
3o6c5jme,3,L,337.2999999523163
3o6c5jme,4,H,316
3o6c5jme,4,L,322.30000001192093
3o6c5jme,5,H,330
3o6c5jme,5,L,334.10000002384186
3o6c5jme,6,H,327.14999997615814
3o6c5jme,6,L,329.80000001192093
3z7js7ze,1,H,378.9000000357628
3z7js7ze,1,L,381
3z7js7ze,2,H,379.89999997615814
3z7js7ze,2,L,367.9000000357628
3z7js7ze,3,H,353.2999999523163
3z7js7ze,3,L,366.90000009536743
3z7js7ze,4,H,352
3z7js7ze,4,L,362.7000000476837
3z7js7ze,5,H,347.8000000715256
3z7js7ze,5,L,345.2000000476837
3z7js7ze,6,H,349.19999998807907
3z7js7ze,6,L,340.30000001192093
4c4vv6fg,1,H,439.2000000476837
4c4vv6fg,1,L,445.25
4c4vv6fg,2,H,438.75
4c4vv6fg,2,L,441.39999997615814
4c4vv6fg,3,H,431.25
4c4vv6fg,3,L,432.2000000476837
4c4vv6fg,4,H,396.10000002384186
4c4vv6fg,4,L,400.2999999523163
4c4vv6fg,5,H,415.75
4c4vv6fg,5,L,408.69999998807907
4c4vv6fg,6,H,434.64999997615814
4c4vv6fg,6,L,410.5999999642372
4iu45lp8,1,H,373.19999999995343
4iu45lp8,1,L,368.54999999993015
4iu45lp8,2,H,374.70000000018626
4iu45lp8,2,L,374.10000000009313
4iu45lp8,3,H,377.39999999990687
4iu45lp8,3,L,374.74999999976717
4iu45lp8,4,H,373
4iu45lp8,4,L,374.20000000018626
4iu45lp8,5,H,369.70000000018626
4iu45lp8,5,L,363.64999999990687
4iu45lp8,6,H,372.9000000003726
4iu45lp8,6,L,376.10000000009313
4j2ynmmd,1,H,372
4j2ynmmd,1,L,380.8999999994412
4j2ynmmd,2,H,383.3499999996274
4j2ynmmd,2,L,382.4000000003726
4j2ynmmd,3,H,376.5
4j2ynmmd,3,L,383.79999999981374
4j2ynmmd,4,H,360.79999999981374
4j2ynmmd,4,L,369.0999999996274
4j2ynmmd,5,H,360.29999999981374
4j2ynmmd,5,L,365.5
4j2ynmmd,6,H,353.5
4j2ynmmd,6,L,358.6499999994412
4lce564k,1,H,431.54999999701977
4lce564k,1,L,409.3999999910593
