id,H,L,learning
02012588,369.09999999403954,384,14.900000005960464
02hhn3yb,361.30000001192093,389.55000001192093,28.25
09u7vlj7,325.59999990463257,330.10000002384186,4.5000001192092896
0jutvml5,327.89999997615814,332.4499999284744,4.549999952316284
0ldaeete,371,369,-2
0qlz7yxg,359,373,14
0v04fxma,377.75,381.75,4
10gr6k2l,361.59999990463257,359.90000009536743,-1.6999998092651367
11qq9hxf,381.35000002384186,388.89999997615814,7.549999952316284
14g6hv8k,420,425.19999999995343,5.199999999953434
16j46xy8,395.34999999403954,408.4000000357628,13.050000041723251
1dyyaw4b,314.5,319.4499999284744,4.949999928474426
1lb7tbr7,359.74999998509884,357.8999999910593,-1.8499999940395355
1xqec919,372.5,380.89999997615814,8.399999976158142
21xapnnh,370.60000002384186,362.80000019073486,-7.799999833106995
23h7rpbu,344.5,352.60000014305115,8.100000143051147
23rjqvom,357.19999980926514,370.7000002861023,13.500000476837158
29ehzpe0,372,376.5,4.5
29zpbmmy,349.5999999642372,357,7.400000035762787
2davx7nt,303.7000000476837,307.94999998807907,4.249999940395355
2n6v1k3u,380.40000000596046,385.699999988079,5.29999998211855
2v42ipxy,404,419.800000011921,15.800000011920986
2wl27dkz,321.2999999523163,328.39999985694885,7.099999904632568
2xn0szh6,404.3999999985099,409.7499999962747,5.349999997764826
2z10bv6a,332.85000002384186,338,5.149999976158142
2zbxslpn,369.19999980926514,375.90000009536743,6.700000286102295
30a1bp8j,360.89999985694885,362.59999990463257,1.7000000476837158
321yl4lz,381.699999988079,385.199999988079,3.5
36eh4u39,369.40000009536743,372.5,3.0999999046325684
38k6v81o,437.35000002384186,441,3.649999976158142
3942ithx,407.89999997615814,413,5.100000023841858
3c48ijq4,345.59999999403954,349.80000001192093,4.200000017881393
3o6c5jme,330.39999997615814,335.94999998807907,5.550000011920929
3z7js7ze,359.0999999642372,360.75,1.6500000357627869
4c4vv6fg,427.35000002384186,427.6500000357628,0.30000001192092896
4iu45lp8,373.3499999998603,372.60000000032596,-0.7499999995343387
4j2ynmmd,368,375.6000000005588,7.6000000005587935
4lce564k,376.5,374.70000000298023,-1.7999999970197678
4oenuj4z,319,324,5
4osyobtp,351.7999999523163,359.85000002384186,8.050000071525574
4tjawqeo,371.40000009536743,373.59999990463257,2.1999998092651367
4uzthrsp,384,379,-5
5aqq8r6w,350.2999999523163,354.0499999523163,3.75
5ckvwhwy,415.7999999821186,415.300000011921,-0.49999997019762077
5g9je77m,343.5,349.75,6.25
5l6mnknj,374.0999999996274,368,-6.099999999627414
5tqven48,376.94999998807907,387.35000002384186,10.400000035762787
5un6y0nb,367,382.5,15.5
5vluzm8n,387.59999999403954,384.5,-3.0999999940395355
62pu08b1,390,389,-1
63xil5ki,362.39999997615814,369.2999999523163,6.899999976158142
66jz8ugt,340.8499999642372,355.2000000476837,14.350000083446503
6f2ol425,365.5999999642372,374.5,8.900000035762787
6gwztzbq,331.3999999910593,336.6499999985099,5.250000007450581
6jpt0age,326.0999999642372,331.39999997615814,5.300000011920929
6ui53ym6,407.7999999821186,413.5,5.700000017881393
7cwp4v6n,380,389,9
7e2tmpa6,370.6000000014901,378.80000000074506,8.199999999254942
7etrw5nu,314.3999999985099,313.79999999701977,-0.6000000014901161
7qw1xhrh,415.7000000476837,419.09999990463257,3.3999998569488525
81bqimnf,364.10000002384186,372.30000019073486,8.200000166893005
81db02fc,354.39999985694885,364.6999999284744,10.300000071525574
8c1fhpt1,459,466,7
8cav5z8q,516.75,503.4000000357628,-13.349999964237213
8vxgrgkb,388.85000002384186,393.2999999523163,4.449999928474426
8xlm91xr,321.10000014305115,323.60000014305115,2.5
91e0xbu5,318.60000002384186,325.5499999523163,6.949999928474426
934tcrxh,401.2000000476837,394.2999999523163,-6.900000095367432
95qq6nys,337.89999997615814,346.2000000476837,8.300000071525574
98n9czmc,376.60000002384186,383.14999997615814,6.549999952316284
99rxav54,344.30000001192093,351.5,7.199999988079071
9d4b8u7f,338.85000002384186,345.14999997615814,6.299999952316284
9dptpzrf,443.5,446.0499999821186,2.5499999821186066
9e1r9mu0,351,352,1
9e9jgfep,395.4000000001397,404.6999999997206,9.299999999580905
9eprutwa,347.25000000186265,354.30000000074506,7.049999998882413
9eybg7ux,350.80000001192093,369.94999998807907,19.149999976158142
9owrldau,348.8999999994412,350.79999999981374,1.900000000372529
9qygdnaf,399,396,-3
9s5fp6s6,389.20000000298023,393,3.7999999970197678
9ypnxdh1,340,346.7000000476837,6.700000047683716
a2lhxhxk,352.80000019073486,363.0499999523163,10.249999761581421
a9n5v3d1,364.10000002384186,368.800000011921,4.699999988079128
acyrm6vi,395.5500000715256,404.5,8.949999928474426
adx0ufr2,348,354,6
ahrykldn,341.0999999642372,346.8000000715256,5.700000107288361
ajw8rmzy,389.2000000476837,396.40000009536743,7.200000047683716
au3z690l,338.29999999701977,343,4.700000002980232
awz14fq9,404.9499999284744,399.4500000476837,-5.4999998807907104
bd6v7ia1,412.5499999523163,399.59999990463257,-12.950000047683716
bh4nuak1,348.69999999995343,350.70000000006985,2.0000000001164153
bla7r2es,334.7999997138977,332.6000003814697,-2.1999993324279785
bx2hkvzu,322.34999999403954,334.7000000178814,12.350000023841858
byga4vql,378.5999999642372,369.25,-9.349999964237213
c8cu3c3m,352,359.5,7.5
cjz75i22,365.59999990463257,365.2999999523163,-0.2999999523162842
cqohls3i,320.64999985694885,318.90000009536743,-1.749999761581421
cw1o9bs1,365.8000000002794,375.19999999925494,9.399999998975545
d0ik7z9x,352.3500000014901,353.80000000074506,1.449999999254942
d2m1zo7g,399.69999998807907,413.90000009536743,14.20000010728836
d3omyepd,453.89999997615814,454.59999990463257,0.6999999284744263
d6it3y3p,392.59999990463257,399.5500000715256,6.950000166893005
decnc028,367.19999998807907,367.54999999701977,0.3500000089406967
diqhmi3m,346.09999990463257,348.5,2.4000000953674316
dkzozr6c,501,505,4
dmsi5tdj,336.89999999990687,339.40000000037253,2.5000000004656613
dnoe2hz9,401.8000000715256,409.59999990463257,7.799999833106995
dq82faf2,442.3500000014901,440.5,-1.8500000014901161
dr4gkvot,373.84999999403954,382.90000000596046,9.050000011920929
ds5uz2d5,402.4000000357628,411.39999997615814,8.999999940395355
dyyp50j9,402,397,-5
e9v1bzuc,419.60000002384186,424.80000001192093,5.199999988079071
eegst1da,344.40000009536743,341.2500001192093,-3.149999976158142
efi3fjue,343.3000000715256,350.5,7.199999928474426
ej4up0rn,368.65000000596046,375.1000000089407,6.450000002980232
ejv5piey,411.7499998807907,412.64999985694885,0.8999999761581421
ektwqxeh,329.05000001192093,334.4500000476837,5.400000035762787
em7v17uu,311.4000000022352,323.6499999985099,12.24999999627471
enhoisyi,435,455,20
eogyi8j4,321.40000000596046,328.5,7.0999999940395355
f3jt6ahq,337.3000000002794,339.69999999995343,2.399999999674037
f6k7yhh9,433.65000009536743,432.5,-1.1500000953674316
fdlbs3x7,417,423.3500000089407,6.350000008940697
fhwg4lyo,338.79999999981374,345.69999999925494,6.8999999994412065
fnqg33tk,357.09999999403954,362.79999999701977,5.700000002980232
fo2t0ykg,401.59999990463257,411.2999999523163,9.700000047683716
foy52cb4,355,357.59999990463257,2.5999999046325684
ftd9rnvm,458.2999999523163,466.3000000715256,8.00000011920929
g59wh51e,326.1999999284744,332.25,6.050000071525574
g6fwz6fr,368,374,6
g6u6toqw,324.25,329.55000001192093,5.300000011920929
g79gm5hl,392.09999999403954,404.59999999403954,12.5
ga9uahma,575.6000001430511,576,0.39999985694885254
ggyyoznf,314.40000000596046,318.6499999910593,4.249999985098839
ghfmfp6u,432.40000009536743,450.25,17.84999990463257
gmohu013,455.99999952316284,460.19999980926514,4.200000286102295
gszsrlmk,384.74999994039536,387.5,2.7500000596046448
h2fr0kzy,339.59999999403954,341.1499999910593,1.5499999970197678
h46neot4,371.29999999701977,379.3500000014901,8.050000004470348
h6f38bwq,376.90000009536743,382.69999980926514,5.799999713897705
haqli8xf,352.10000014305115,356.5,4.3999998569488525
hdbjnl2c,350.5,357.50000005960464,7.000000059604645
he7sr8mk,301.30000019073486,308,6.699999809265137
hegg4ro3,339.3000000715256,346,6.699999928474426
hgkrglvb,398,401,3
hgvrtubi,351.29999999701977,358.3999999985099,7.100000001490116
hi6zokfx,379.3000000715256,397.10000002384186,17.799999952316284
hifa1lt0,373,385,12
hiz600nj,322.04999999701977,329.7500000074506,7.700000010430813
hprh5n1p,392.89999985694885,391.5,-1.3999998569488525
hy7g3uyh,361.8999999985099,371.6499999985099,9.75
hz8tf3vd,321.65000000037253,324.30000000074506,2.650000000372529
i0g6t95m,383.5,399.20000000298023,15.700000002980232
i7buva8v,414.60000014305115,394.5,-20.100000143051147
i8qv8im9,454.60000002384186,457.89999997615814,3.299999952316284
ignzshk6,332.15000000037253,338,5.849999999627471
iufx87jk,385.5,383.94999999995343,-1.5500000000465661
jscgnhdg,335.4500000476837,349.5,14.049999952316284
juxni43e,317.8999996185303,324.30000019073486,6.40000057220459
jwgxbjzf,381.65000000596046,386.45000000298023,4.799999997019768
k1haxar6,347.05000001192093,357.75000005960464,10.700000047683716
kaj4d6us,341.40000000596046,356.3499999642372,14.949999958276749
kfigyu57,369.7499999701977,374.2999999523163,4.549999982118607
kkyl1756,380.20000000298023,383.05000000447035,2.850000001490116
klijsnkr,364.59999999962747,371.69999999925494,7.099999999627471
knznxrg2,326.55000001192093,332.60000002384186,6.050000011920929
kv027ctc,396.44999999552965,391,-5.449999995529652
l75tdx7z,413,409.5,-3.5
ldmmwz4f,357.10000014305115,357.5,0.39999985694885254
llsj1iws,378.30000000074506,388,9.699999999254942
ln7kg8ue,361.75000000186265,365.19999999552965,3.4499999936670065
lv8ld5wh,348.69999998807907,352.79999999701977,4.100000008940697
lykz1rsu,425.89999985694885,432.90000009536743,7.000000238418579
mee14g6o,340.7999999523163,349.69999980926514,8.899999856948853
megc4lwa,368.9999999701977,377.25,8.250000029802322
mei70uns,435.60000014305115,446.7000000476837,11.099999904632568
merxonq0,378.1999999284744,377,-1.1999999284744263
msc1rxqn,344.60000014305115,346.39999985694885,1.799999713897705
mtlahwgq,334.89999997615814,339.7000000476837,4.800000071525574
n29bvgfq,388.3499999642372,390.4000000357628,2.0500000715255737
n5zkdivb,315.79999999981374,319.85000000032596,4.050000000512227
n98bw1w1,404.79999999701977,406.94999999552965,2.149999998509884
ndrjpwzk,377.19999998807907,392.7999999523163,15.599999964237213
nj1xo326,411.7000000476837,410.8000000715256,-0.8999999761581421
noei6ysf,339.2000000476837,346.5,7.299999952316284
nw012b80,405,431,26
o0rf6ttx,408.14999997615814,409.2000000476837,1.0500000715255737
o0s5d3oa,386.25,400.5500000715256,14.300000071525574
o164htod,347,349.5,2.5
o7t1h1uu,367.7000000476837,378.10000002384186,10.399999976158142
oc4nj0mw,352.8500000014901,358,5.149999998509884
og139wwb,402.4500000476837,406.90000009536743,4.450000047683716
oj7dfs8q,347.7999999523163,351.14999997615814,3.350000023841858
ojgtxh4b,312.20000000298023,319.19999998807907,6.999999985098839
op2f5tbq,364,372.5,8.5
opoeebkv,408.2000000178814,410.40000000596046,2.199999988079071
orpo5v41,351.7000000476837,353.7000000476837,2
ou69io2m,393.5,400.8499999642372,7.349999964237213
ov0ykrcj,365.4999998807907,365.39999985694885,-0.10000002384185791
ov6zilsh,336.39999997615814,353.0499999523163,16.649999976158142
ow986b5y,383,386.5,3.5
oy96qcal,367.1999999284744,368.0499999523163,0.8500000238418579
p7r46bu5,374.3499999642372,376.30000001192093,1.9500000476837158
p82edp2y,333.89999997615814,328.2000000476837,-5.699999928474426
pc2f0ui6,388.40000009536743,392.89999985694885,4.499999761581421
pc4rm08d,388,391.4500000476837,3.450000047683716
pft5n8y6,328.85000002384186,328,-0.8500000238418579
pl9my9hx,365.09999990463257,367.5,2.4000000953674316
pozsjx4f,349.75,350.7000000178814,0.9500000178813934
pp56h32v,325.25,329.6000000089407,4.350000008940697
przvqjfv,391.2999999821186,389.00000001490116,-2.2999999672174454
pw6hk232,374.59999990463257,376,1.4000000953674316
q2og7bcw,344.10000014305115,339.5499999523163,-4.550000190734863
qbftx87x,350.80000001192093,353.4500000178814,2.6500000059604645
qh2z8vvu,389.800000011921,398.9000000357628,9.100000023841801
qkicgoft,338.2500001192093,352.5,14.24999988079071
qqwe9imb,353.90000009536743,358.4500000476837,4.549999952316284
qraan3df,419.9499999284744,421.2999999523163,1.350000023841858
qt76109e,425.55000000074506,429.1000000014901,3.550000000745058
qtl2vxy4,315.7999999523163,325.90000009536743,10.100000143051147
qw0603kl,390.90000009536743,394.7999997138977,3.8999996185302734
qyefhmeo,322,335,13
r0jqeaev,338,348,10
r1rsvgco,368,375.95000000018626,7.9500000001862645
r84jyjzi,284.90000009536743,290.40000009536743,5.5
r9pl56hp,337,336.7999999523163,-0.20000004768371582
rwtn9oet,420.7000000476837,419.94999998807907,-0.7500000596046448
s6ye1o1i,417.7000000476837,421.25,3.549999952316284
sckw9xi2,430.7000002861023,433.7000002861023,3
si7hbkx8,445.0499999523163,453.40000009536743,8.350000143051147
sjmltdl9,340.05000001192093,349.2000000476837,9.150000035762787
sjp7cniy,331,337,6
sl71orxp,333.29999999981374,337.5,4.2000000001862645
sm7365pn,326.39999985694885,328.09999990463257,1.7000000476837158
t4wh6a8a,398.7999999523163,404.7999999523163,6
tcvcarp3,314.54999999701977,313.7000000178814,-0.8499999791383743
td18pjfx,377.6999999284744,379.5499999523163,1.850000023841858
teq2jd9p,387.5,408.7999999523163,21.299999952316284
tjix77rv,316.3500000005588,332.30000000074506,15.950000000186265
tkc3bql3,307.20000000298023,315.3999999985099,8.199999995529652
tlv2ma31,380.94999999995343,381,0.05000000004656613
tngsmbfb,366.70000000018626,370.05000000004657,3.3499999998603016
twjbvnlp,333.2999997138977,337.7000000476837,4.400000333786011
txj3817a,359.05000001192093,358.5,-0.550000011920929
u2woyp9g,369.25,380.5,11.25
u32swc61,325.40000009536743,323.6999999284744,-1.7000001668930054
u8ofwyp7,345.7000000178814,348.34999999403954,2.649999976158142
u958vef7,328,338.5,10.5
ud3qt2ba,424.89999985694885,428.2999999523163,3.4000000953674316
un3gjc1s,316.59999999403954,331,14.400000005960464
usnnjdm9,353.3999999985099,352.59999999962747,-0.7999999988824129
ut85pm0q,372.35000002384186,370.64999997615814,-1.7000000476837158
uuurrbbj,384,383.40000009536743,-0.5999999046325684
uzghar5a,388.7999999523163,404.0499999523163,15.25
v6fn4eru,440.5,433,-7.5
v7zfve4a,391.85000002384186,405.89999997615814,14.049999952316284
vduxnyfy,358.60000002384186,361.10000002384186,2.5
vl6m2tlj,386,388.10000002384186,2.100000023841858
vrydb0xr,389.5,391.39999997615814,1.899999976158142
vs7415pm,404.30000000074506,409.5999999996274,5.299999998882356
vz5xf26j,328.7999999821186,339.60000002384186,10.800000041723251
w6fxd0ct,371,374,3
weakyj8i,350.7999999821186,352,1.2000000178813934
wl1d54gn,463.90000000596046,470.09999999403954,6.199999988079071
x0p6rm1y,336.5,335.70000000298023,-0.7999999970197678
x0xukvie,355,358,3
x3yr520m,347.39999997615814,361.4500000476837,14.050000071525574
x7813yq0,447.90000009536743,452.5,4.599999904632568
xivwne6i,410.25,408.8000000715256,-1.4499999284744263
xmklclsz,451.199999988079,451.34999999403954,0.15000000596052132
xroufr90,445,442.05000001192093,-2.949999988079071
xuhuv8lc,328.7000000178814,333.90000000596046,5.199999988079071
y0w9ndc3,337.2000000476837,342.90000009536743,5.700000047683716
y4t0c0hk,381.8000000715256,388.2999999523163,6.4999998807907104
yc475tvl,398.40000009536743,394.59999990463257,-3.8000001907348633
yozvkl9c,377,380,3
yq8ep1z3,380,381.8500000014901,1.8500000014901161
yrsr94ov,376.7999997138977,390.69999980926514,13.900000095367432
ywgayqt6,400.89999997615814,399,-1.899999976158142
yyfbdu0b,388,396.5,8.5
yz3rkgxg,449.09999999403954,456.09999999403954,7
z0qweezh,395,401.7999999523163,6.799999952316284
z3zuaqyi,329.5,334.65000000596046,5.1500000059604645
z7bic0rf,321.5000001192093,330.9500000476837,9.449999928474426
za9gkd6c,357.2000000476837,359.90000009536743,2.700000047683716
zc2uy687,347,348,1
ze5i9tkz,415.40000009536743,418.7999999523163,3.3999998569488525
zgi28emw,414.5,423.0500000715256,8.550000071525574
zmlkdgl5,338,345.5,7.5
zn7thjg0,336.1999999284744,339.2000000476837,3.0000001192092896
zqa7txui,383.1000000014901,385.5,2.399999998509884
zrfresc1,379.9500000476837,383.9999998807907,4.049999833106995
zrn2grix,376,374,-2
zshuyb8c,346.19999980926514,350.39999985694885,4.200000047683716
zxd44db3,321.64999985694885,330.14999997615814,8.50000011920929
zy448n7y,444.15000000037253,439.80000000074506,-4.349999999627471
