id,ls_overall_rt
02012588,14.900000005960464
02hhn3yb,28.25
09u7vlj7,4.5000001192092896
0jutvml5,4.549999952316284
0ldaeete,-2
0qlz7yxg,14
0v04fxma,4
10gr6k2l,-1.6999998092651367
11qq9hxf,7.549999952316284
14g6hv8k,5.199999999953434
16j46xy8,13.050000041723251
1dyyaw4b,4.949999928474426
1lb7tbr7,-1.8499999940395355
1xqec919,8.399999976158142
21xapnnh,-7.799999833106995
23h7rpbu,8.100000143051147
23rjqvom,13.500000476837158
29ehzpe0,4.5
29zpbmmy,7.400000035762787
2davx7nt,4.249999940395355
2n6v1k3u,5.29999998211855
2v42ipxy,15.800000011920986
2wl27dkz,7.099999904632568
2xn0szh6,5.349999997764826
2z10bv6a,5.149999976158142
2zbxslpn,6.700000286102295
30a1bp8j,1.7000000476837158
321yl4lz,3.5
36eh4u39,3.0999999046325684
38k6v81o,3.649999976158142
3942ithx,5.100000023841858
3c48ijq4,4.200000017881393
3o6c5jme,5.550000011920929
3z7js7ze,1.6500000357627869
4c4vv6fg,0.30000001192092896
4iu45lp8,-0.7499999995343387
4j2ynmmd,7.6000000005587935
4lce564k,-1.7999999970197678
4oenuj4z,5
4osyobtp,8.050000071525574
4tjawqeo,2.1999998092651367
4uzthrsp,-5
5aqq8r6w,3.75
5ckvwhwy,-0.49999997019762077
5g9je77m,6.25
5l6mnknj,-6.099999999627414
5tqven48,10.400000035762787
5un6y0nb,15.5
5vluzm8n,-3.0999999940395355
62pu08b1,-1
63xil5ki,6.899999976158142
66jz8ugt,14.350000083446503
6f2ol425,8.900000035762787
6gwztzbq,5.250000007450581
6jpt0age,5.300000011920929
6ui53ym6,5.700000017881393
7cwp4v6n,9
7e2tmpa6,8.199999999254942
7etrw5nu,-0.6000000014901161
7qw1xhrh,3.3999998569488525
81bqimnf,8.200000166893005
81db02fc,10.300000071525574
8c1fhpt1,7
8cav5z8q,-13.349999964237213
8vxgrgkb,4.449999928474426
8xlm91xr,2.5
91e0xbu5,6.949999928474426
934tcrxh,-6.900000095367432
95qq6nys,8.300000071525574
98n9czmc,6.549999952316284
99rxav54,7.199999988079071
9d4b8u7f,6.299999952316284
9dptpzrf,2.5499999821186066
9e1r9mu0,1
9e9jgfep,9.299999999580905
9eprutwa,7.049999998882413
9eybg7ux,19.149999976158142
9owrldau,1.900000000372529
9qygdnaf,-3
9s5fp6s6,3.7999999970197678
9ypnxdh1,6.700000047683716
a2lhxhxk,10.249999761581421
a9n5v3d1,4.699999988079128
acyrm6vi,8.949999928474426
adx0ufr2,6
ahrykldn,5.700000107288361
