id,bin,ls_binwise_rt
02012588,1,6.599999994039592
02012588,2,31.30000001192093
02012588,3,-1.100000023841858
02012588,4,7.5
02012588,5,16.29999998211855
02012588,6,13.54999998211855
02hhn3yb,1,0.3500000238418579
02hhn3yb,2,45.199999928474426
02hhn3yb,3,30.400000035762787
02hhn3yb,4,43.50000011920929
02hhn3yb,5,-6
02hhn3yb,6,27.150000035762787
09u7vlj7,1,9.899999856948853
09u7vlj7,2,8.5
09u7vlj7,3,2.399999976158142
09u7vlj7,4,6.699999928474426
09u7vlj7,5,-3.4000000953674316
09u7vlj7,6,13
0jutvml5,1,0.3500000238418579
0jutvml5,2,2.4499999284744263
0jutvml5,3,2.4499998092651367
0jutvml5,4,2.149999976158142
0jutvml5,5,9.850000023841858
0jutvml5,6,18.49999976158142
0ldaeete,1,-19.5
0ldaeete,2,4.5
0ldaeete,3,0
0ldaeete,4,5.5
0ldaeete,5,-4
0ldaeete,6,8
0qlz7yxg,1,4
0qlz7yxg,2,10
0qlz7yxg,3,22
0qlz7yxg,4,5
0qlz7yxg,5,18
0qlz7yxg,6,21.5
0v04fxma,1,1.2499999925494194
0v04fxma,2,3.7500000074505806
0v04fxma,3,4.399999991059303
0v04fxma,4,2.850000001490116
0v04fxma,5,2
0v04fxma,6,6.500000007450637
10gr6k2l,1,2.5
10gr6k2l,2,-13.850000143051147
10gr6k2l,3,4.550000071525574
10gr6k2l,4,6.799999952316284
10gr6k2l,5,-7.950000047683716
10gr6k2l,6,-3.4000000953674316
11qq9hxf,1,-3.399999976158142
11qq9hxf,2,8.949999809265137
11qq9hxf,3,14.25
11qq9hxf,4,20.299999952316284
11qq9hxf,5,-2.9000000953674316
11qq9hxf,6,10.449999928474426
14g6hv8k,1,30
14g6hv8k,2,-20.000000000116415
14g6hv8k,3,15.5
14g6hv8k,4,-11.649999999441206
14g6hv8k,5,35.34999999962747
14g6hv8k,6,-5
16j46xy8,1,8.999999999999943
16j46xy8,2,27.950000047683773
16j46xy8,3,9.599999994039536
16j46xy8,4,3.5
16j46xy8,5,1.0499999821186066
16j46xy8,6,-0.5
1dyyaw4b,1,6.650000095367432
1dyyaw4b,2,19.399999976158142
1dyyaw4b,3,2.9000000953674316
1dyyaw4b,4,1.7000000476837158
1dyyaw4b,5,-2.899999976158142
1dyyaw4b,6,8.549999952316284
1lb7tbr7,1,-16.75
1lb7tbr7,2,21.799999997019768
1lb7tbr7,3,-16
1lb7tbr7,4,7.5
1lb7tbr7,5,-35.44999997317791
1lb7tbr7,6,18.80000001192093
1xqec919,1,-6.949999958276692
1xqec919,2,23.349999994039536
1xqec919,3,15.399999976158199
1xqec919,4,21.000000029802322
1xqec919,5,-0.699999988079071
1xqec919,6,-14
21xapnnh,1,-3.3499999046325684
21xapnnh,2,-24.99999988079071
21xapnnh,3,-3.6000001430511475
21xapnnh,4,2
21xapnnh,5,-11.5
21xapnnh,6,-12
23h7rpbu,1,-16.199999928474426
23h7rpbu,2,13.25
23h7rpbu,3,28.100000023841858
23h7rpbu,4,12.649999976158142
23h7rpbu,5,-3.649999976158142
23h7rpbu,6,13.5
23rjqvom,1,21.75
23rjqvom,2,7.649999618530273
23rjqvom,3,24.049999713897705
23rjqvom,4,23.649999856948853
23rjqvom,5,-14.699999332427979
23rjqvom,6,5.199999809265137
29ehzpe0,1,-3
29ehzpe0,2,7
29ehzpe0,3,10
29ehzpe0,4,4
29ehzpe0,5,-4
29ehzpe0,6,9
29zpbmmy,1,8.550000011920986
29zpbmmy,2,-16.599999964237156
29zpbmmy,3,6.699999988079128
29zpbmmy,4,-4.500000059604645
29zpbmmy,5,9.400000005960464
29zpbmmy,6,4.700000047683716
2davx7nt,1,15.200000047683716
2davx7nt,2,1.199999988079071
2davx7nt,3,-1.149999976158142
2davx7nt,4,-2.8000001311302185
2davx7nt,5,13.100000023841858
2davx7nt,6,-2.5000000596046448
2n6v1k3u,1,19.600000008940697
2n6v1k3u,2,9.899999991059303
2n6v1k3u,3,14.900000005960408
2n6v1k3u,4,14.700000002980232
2n6v1k3u,5,-7.9000000059604645
2n6v1k3u,6,5.700000002980232
2v42ipxy,1,33.65000003576279
2v42ipxy,2,-4.000000029802322
2v42ipxy,3,31.600000023841858
2v42ipxy,4,9.349999994039536
2v42ipxy,5,10.999999985098782
2v42ipxy,6,33.79999999701977
2wl27dkz,1,3.0999999046325684
2wl27dkz,2,12.100000143051147
2wl27dkz,3,25.449999928474426
2wl27dkz,4,2.5500000715255737
2wl27dkz,5,-0.8500000238418579
2wl27dkz,6,7.049999952316284
2xn0szh6,1,16.699999999254942
2xn0szh6,2,-9.799999997019768
2xn0szh6,3,25.00000000372529
2xn0szh6,4,5.199999995529652
2xn0szh6,5,24
2xn0szh6,6,-21.550000000745058
2z10bv6a,1,-9.900000214576721
2z10bv6a,2,-1.249999761581421
2z10bv6a,3,31.200000047683716
2z10bv6a,4,12.450000047683716
2z10bv6a,5,-4.200000166893005
2z10bv6a,6,12.75
2zbxslpn,1,9.75
2zbxslpn,2,1.7999999523162842
2zbxslpn,3,15.750000238418579
2zbxslpn,4,4.449999809265137
2zbxslpn,5,-0.25
2zbxslpn,6,6.949999928474426
30a1bp8j,1,-1.4500001668930054
30a1bp8j,2,8.5
30a1bp8j,3,15.850000143051147
30a1bp8j,4,-11.99999988079071
30a1bp8j,5,1.350000023841858
30a1bp8j,6,-1.4000000953674316
321yl4lz,1,28.30000001192093
321yl4lz,2,16.549999982118607
321yl4lz,3,0.8999999761581421
321yl4lz,4,28.0000000596047
321yl4lz,5,8.29999998211855
321yl4lz,6,-3.900000035762787
36eh4u39,1,-10.399999618530273
36eh4u39,2,3.299999952316284
36eh4u39,3,-4.900000095367432
36eh4u39,4,0.7999999523162842
36eh4u39,5,16.34999990463257
36eh4u39,6,4.8999998569488525
38k6v81o,1,5.3500001430511475
38k6v81o,2,-23.100000143051147
38k6v81o,3,4.299999952316284
38k6v81o,4,-3.6999999284744263
38k6v81o,5,10.300000071525574
38k6v81o,6,25.100000143051147
3942ithx,1,18.799999982118607
3942ithx,2,-7.999999970197678
3942ithx,3,21.60000002384197
3942ithx,4,-5.349999994039479
3942ithx,5,3.7000000178813934
3942ithx,6,18.599999994039536
3c48ijq4,1,8.900000035762787
3c48ijq4,2,-10.049999982118607
3c48ijq4,3,3.4000000357628437
3c48ijq4,4,5.350000023841858
3c48ijq4,5,-8
3c48ijq4,6,10.299999982118607
3o6c5jme,1,-4.999999940395355
3o6c5jme,2,11.700000047683716
3o6c5jme,3,7.199999988079071
3o6c5jme,4,6.300000011920929
3o6c5jme,5,4.100000023841858
3o6c5jme,6,2.650000035762787
3z7js7ze,1,2.099999964237213
3z7js7ze,2,-11.999999940395355
3z7js7ze,3,13.600000143051147
3z7js7ze,4,10.700000047683716
3z7js7ze,5,-2.600000023841858
3z7js7ze,6,-8.899999976158142
4c4vv6fg,1,6.049999952316284
4c4vv6fg,2,2.649999976158142
4c4vv6fg,3,0.9500000476837158
4c4vv6fg,4,4.199999928474426
4c4vv6fg,5,-7.050000011920929
4c4vv6fg,6,-24.05000001192093
4iu45lp8,1,-4.650000000023283
4iu45lp8,2,-0.6000000000931323
4iu45lp8,3,-2.6500000001396984
4iu45lp8,4,1.2000000001862645
4iu45lp8,5,-6.050000000279397
4iu45lp8,6,3.1999999997205464
4j2ynmmd,1,8.899999999441206
4j2ynmmd,2,-0.9499999992548283
4j2ynmmd,3,7.2999999998137355
4j2ynmmd,4,8.299999999813679
4j2ynmmd,5,5.2000000001862645
4j2ynmmd,6,5.1499999994412065
4lce564k,1,-22.150000005960464
4lce564k,2,-5.5
4lce564k,3,16.150000005960464
4lce564k,4,11.399999998509884
4lce564k,5,-5.649999998509884
4lce564k,6,10.150000013411045
4oenuj4z,1,7
4oenuj4z,2,-7.5
