id,aq_sum,aq_group,bin,overall_median_rt,bin_median_rt,overall_mean_acc,bin_mean_acc,aq_centered,bin_mean_acc_perc,bin_median_rt_scaled,bin_mean_error_rate_scaled,bias
02012588,24,2,1,372.199999988079,387.20000000298023,0.8755469129800679,0.8927536231884059,5.851351351351351,89.27536231884059,1.0159608834059124,-0.6313327395179018,1.6472936229238142
02012588,24,2,2,372.199999988079,390.59999999403954,0.8755469129800679,0.8691860465116281,5.851351351351351,86.91860465116281,1.2533675495808816,0.2243440803289957,1.0290234692518858
02012588,24,2,3,372.199999988079,369.3999999910593,0.8755469129800679,0.899135446685879,5.851351351351351,89.9135446685879,-0.22693284361082208,-0.8630399918177414,0.6361071482069193
02012588,24,2,4,372.199999988079,353.59999999403954,0.8755469129800679,0.8293413173652695,5.851351351351351,82.93413173652695,-1.330175589116924,1.6710015619703613,-3.001177151087285
02012588,24,2,5,372.199999988079,373.300000011921,0.8755469129800679,0.8620689655172413,5.851351351351351,86.20689655172413,0.04538656976265086,0.4827466015296742,-0.4373600317670233
02012588,24,2,6,372.199999988079,361.7999999821186,0.8755469129800679,0.8997050147492625,5.851351351351351,89.97050147492625,-0.757606570021687,-0.883719512493389,0.12611294247170202
02hhn3yb,18,2,1,371.199999988079,379.7999999523163,0.87016168544831,0.8338278931750746,-0.14864864864864913,83.38278931750746,1.0593364163048031,1.2405844877641754,-0.18124807145937227
02hhn3yb,18,2,2,371.199999988079,371.3000000715256,0.87016168544831,0.8918918918918918,-0.14864864864864913,89.18918918918918,0.013331446588881406,-0.7414238576746776,0.754755304263559
02hhn3yb,18,2,3,371.199999988079,366,0.87016168544831,0.8798798798798799,-0.14864864864864913,87.98798798798799,-0.6388834348300083,-0.33139512077296474,-0.3074883140570436
02hhn3yb,18,2,4,371.199999988079,362.8499999642372,0.87016168544831,0.893371757925072,-0.14864864864864913,89.3371757925072,-1.0265205805033206,-0.7919389254053656,-0.23458165509795503
02hhn3yb,18,2,5,371.199999988079,382.1999999284744,0.87016168544831,0.8318840579710144,-0.14864864864864913,83.18840579710144,1.3546789971974018,1.3069370931952102,0.04774190400219158
02hhn3yb,18,2,6,371.199999988079,365,0.87016168544831,0.8901734104046244,-0.14864864864864913,89.01734104046244,-0.7619428447577432,-0.6827636771063759,-0.07917916765136734
09u7vlj7,17,1,1,327.6999999284744,335.5,0.9444444444444444,0.9319526627218936,-1.1486486486486491,93.19526627218936,0.6328124187313613,0.706708331647649,-0.07389591291628772
09u7vlj7,17,1,2,327.6999999284744,340.89999997615814,0.9444444444444444,0.9201183431952662,-1.1486486486486491,92.01183431952661,1.1163766249942368,1.3750310412987277,-0.2586544163044908
09u7vlj7,17,1,3,327.6999999284744,334.65000009536743,0.9444444444444444,0.9421965317919077,-1.1486486486486491,94.21965317919077,0.5566958389124856,0.12820355840922118,0.4284922805032645
09u7vlj7,17,1,4,327.6999999284744,310.35000002384186,0.9444444444444444,0.9611940298507464,-1.1486486486486491,96.11940298507464,-1.6193431052830503,-0.944647259139436,-0.6746958461436142
09u7vlj7,17,1,5,327.6999999284744,328,0.9444444444444444,0.967551622418879,-1.1486486486486491,96.7551622418879,-0.03880453737681696,-1.303681294212751,1.264876756835934
09u7vlj7,17,1,6,327.6999999284744,321.2000000476837,0.9444444444444444,0.9437869822485206,-1.1486486486486491,94.37869822485206,-0.6477372399782063,0.03838562199658907,-0.6861228619747954
0jutvml5,22,2,1,329.1999999284744,354,0.8931560807483999,0.8925373134328358,3.851351351351351,89.25373134328358,1.2585352512391617,0.03035189376759013,1.2281833574715715
0jutvml5,22,2,2,329.1999999284744,345.7000000476837,0.8931560807483999,0.8865671641791045,3.851351351351351,88.65671641791046,0.8268888660390378,0.3663979640352885,0.46049090200374926
0jutvml5,22,2,3,329.1999999284744,339.0500000715256,0.8931560807483999,0.8664688427299703,3.851351351351351,86.64688427299703,0.4810517012462219,1.4976865893133569,-1.016634888067135
0jutvml5,22,2,4,329.1999999284744,306.69999980926514,0.8931560807483999,0.9210526315789472,3.851351351351351,92.10526315789473,-1.201329112567024,-1.5747102576426064,0.3733811450755824
0jutvml5,22,2,5,329.1999999284744,321.5,0.8931560807483999,0.8997050147492625,3.851351351351351,89.97050147492625,-0.4316463872666412,-0.37310164782224114,-0.05854473944440003
0jutvml5,22,2,6,329.1999999284744,311.85000002384186,0.8931560807483999,0.892128279883382,3.851351351351351,89.21282798833819,-0.933500318690762,0.05337545834861213,-0.9868757770393741
0ldaeete,16,1,1,371,359,0.8734613490891183,0.7761627906976741,-2.148648648648649,77.61627906976742,-0.6233623945895702,1.5907029110662352,-2.2140653056558053
0ldaeete,16,1,2,371,358,0.8734613490891183,0.8526011560693642,-2.148648648648649,85.26011560693641,-0.6689742771205143,0.3480076255209471,-1.0169819026414615
0ldaeete,16,1,3,371,362,0.8734613490891183,0.8452380952380952,-2.148648648648649,84.52380952380952,-0.4865267469967379,0.4677124483243648,-0.9542391953211027
0ldaeete,16,1,4,371,370,0.8734613490891183,0.9011976047904194,-2.148648648648649,90.11976047904194,-0.12163168674918512,-0.44204822439477087,0.32041653764558575
0ldaeete,16,1,5,371,371,0.8734613490891183,0.9313432835820896,-2.148648648648649,93.13432835820896,-0.07601980421824103,-0.9321410296478464,0.8561212254296053
0ldaeete,16,1,6,371,416,0.8734613490891183,0.9375,-2.148648648648649,93.75,1.9765149096742434,-1.032233730868929,3.008748640543172
0qlz7yxg,24,2,1,363,391,0.9068413391557492,0.9159420289855073,5.851351351351351,91.59420289855072,1.1677302467649258,-0.2658386909849422,1.433568937749868
