datetime,id,trial_type,correct,p_or_r,block,first_response,trial_number,sequence,is_practice,correct_pos,cumulative_rt,actual_triplet,triplet_type
2023-04-11T21:53:19Z,qh2z8vvu,fullscreen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-11T21:53:58Z,qh2z8vvu,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-11T21:54:01Z,qh2z8vvu,html-keyboard-response,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-11T21:54:03Z,qh2z8vvu,serial-reaction-time,1,R,1,1,1,2314,1,2,864.8999999761581,2,X
2023-04-11T21:54:04Z,qh2z8vvu,serial-reaction-time,1,R,1,1,2,2314,1,1,678.5,21,X
2023-04-11T21:54:05Z,qh2z8vvu,serial-reaction-time,NA,R,1,1,3,2314,1,3,501,213,X
2023-04-11T21:54:05Z,qh2z8vvu,serial-reaction-time,1,R,1,0,3,2314,1,3,1304.699999988079,213,X
2023-04-11T21:54:06Z,qh2z8vvu,serial-reaction-time,1,R,1,1,4,2314,1,4,538.8999999761581,134,X
2023-04-11T21:54:07Z,qh2z8vvu,serial-reaction-time,1,R,1,1,5,2314,1,4,864,344,X
2023-04-11T21:54:08Z,qh2z8vvu,serial-reaction-time,1,R,1,1,6,2314,1,3,654.6999999880791,443,X
2023-04-11T21:54:09Z,qh2z8vvu,serial-reaction-time,1,R,1,1,7,2314,1,1,551.2000000476837,431,X
2023-04-11T21:54:09Z,qh2z8vvu,serial-reaction-time,1,R,1,1,8,2314,1,2,703.5,312,X
2023-04-11T21:54:10Z,qh2z8vvu,serial-reaction-time,1,R,1,1,9,2314,1,3,812.5999999642372,123,X
2023-04-11T21:54:11Z,qh2z8vvu,serial-reaction-time,1,R,1,1,10,2314,1,4,539.6999999880791,234,X
2023-04-11T21:54:12Z,qh2z8vvu,serial-reaction-time,1,R,1,1,11,2314,1,4,549.9000000357628,344,X
2023-04-11T21:54:12Z,qh2z8vvu,serial-reaction-time,1,R,1,1,12,2314,1,1,442.5999999642372,441,X
2023-04-11T21:54:13Z,qh2z8vvu,serial-reaction-time,1,R,1,1,13,2314,1,3,572.0999999642372,413,X
2023-04-11T21:54:14Z,qh2z8vvu,serial-reaction-time,1,R,1,1,14,2314,1,3,473.300000011921,133,X
2023-04-11T21:54:14Z,qh2z8vvu,serial-reaction-time,1,R,1,1,15,2314,1,1,435.5999999642372,331,X
2023-04-11T21:54:15Z,qh2z8vvu,serial-reaction-time,1,R,1,1,16,2314,1,4,438.5999999642372,314,X
2023-04-11T21:54:15Z,qh2z8vvu,serial-reaction-time,1,R,1,1,17,2314,1,4,422.2999999523163,144,X
2023-04-11T21:54:16Z,qh2z8vvu,serial-reaction-time,1,R,1,1,18,2314,1,1,415.9000000357628,441,X
2023-04-11T21:54:17Z,qh2z8vvu,serial-reaction-time,1,R,1,1,19,2314,1,2,735.7999999523163,412,X
2023-04-11T21:54:17Z,qh2z8vvu,serial-reaction-time,1,R,1,1,20,2314,1,2,457.5999999642372,122,X
2023-04-11T21:54:18Z,qh2z8vvu,serial-reaction-time,1,R,1,1,21,2314,1,4,439.800000011921,224,X
2023-04-11T21:54:18Z,qh2z8vvu,serial-reaction-time,1,R,1,1,22,2314,1,4,451.300000011921,244,X
2023-04-11T21:54:19Z,qh2z8vvu,serial-reaction-time,1,R,1,1,23,2314,1,1,445.5,441,X
2023-04-11T21:54:20Z,qh2z8vvu,serial-reaction-time,1,R,1,1,24,2314,1,4,496.0999999642372,414,X
2023-04-11T21:54:20Z,qh2z8vvu,serial-reaction-time,1,R,1,1,25,2314,1,2,522.6999999880791,142,X
2023-04-11T21:54:21Z,qh2z8vvu,serial-reaction-time,1,R,1,1,26,2314,1,2,391.10000002384186,422,X
2023-04-11T21:54:21Z,qh2z8vvu,serial-reaction-time,1,R,1,1,27,2314,1,4,405.5,224,X
2023-04-11T21:54:22Z,qh2z8vvu,serial-reaction-time,1,R,1,1,28,2314,1,4,499.4000000357628,244,X
2023-04-11T21:54:22Z,qh2z8vvu,serial-reaction-time,1,R,1,1,29,2314,1,4,357.19999998807907,444,X
2023-04-11T21:54:23Z,qh2z8vvu,serial-reaction-time,1,R,1,1,30,2314,1,4,349.30000001192093,444,X
2023-04-11T21:54:23Z,qh2z8vvu,serial-reaction-time,1,R,1,1,31,2314,1,2,398.4000000357628,442,X
2023-04-11T21:54:24Z,qh2z8vvu,serial-reaction-time,1,R,1,1,32,2314,1,4,349.69999998807907,424,X
2023-04-11T21:54:24Z,qh2z8vvu,serial-reaction-time,NA,R,1,1,33,2314,1,3,301,243,X
2023-04-11T21:54:25Z,qh2z8vvu,serial-reaction-time,NA,R,1,0,33,2314,1,3,761.0999999642372,243,X
2023-04-11T21:54:25Z,qh2z8vvu,serial-reaction-time,1,R,1,0,33,2314,1,3,876.7999999523163,243,X
2023-04-11T21:54:26Z,qh2z8vvu,serial-reaction-time,1,R,1,1,34,2314,1,2,1249.699999988079,432,X
2023-04-11T21:54:27Z,qh2z8vvu,serial-reaction-time,1,R,1,1,35,2314,1,2,383.199999988079,322,X
2023-04-11T21:54:27Z,qh2z8vvu,serial-reaction-time,1,R,1,1,36,2314,1,2,319.30000001192093,222,X
2023-04-11T21:54:28Z,qh2z8vvu,serial-reaction-time,NA,R,1,1,37,2314,1,3,605.3000000119209,223,X
2023-04-11T21:54:28Z,qh2z8vvu,serial-reaction-time,1,R,1,0,37,2314,1,3,875.1000000238419,223,X
2023-04-11T21:54:31Z,qh2z8vvu,serial-reaction-time,1,R,1,1,38,2314,1,4,2831.399999976158,234,X
2023-04-11T21:54:32Z,qh2z8vvu,serial-reaction-time,1,R,1,1,39,2314,1,2,699,342,X
2023-04-11T21:54:33Z,qh2z8vvu,serial-reaction-time,1,R,1,1,40,2314,1,2,321.89999997615814,422,X
2023-04-11T21:54:33Z,qh2z8vvu,serial-reaction-time,1,R,1,1,41,2314,1,1,461.60000002384186,221,X
2023-04-11T21:54:34Z,qh2z8vvu,serial-reaction-time,1,R,1,1,42,2314,1,1,310.10000002384186,211,X
2023-04-11T21:54:34Z,qh2z8vvu,serial-reaction-time,1,R,1,1,43,2314,1,4,534.8999999761581,114,X
2023-04-11T21:54:35Z,qh2z8vvu,serial-reaction-time,1,R,1,1,44,2314,1,3,451.300000011921,143,X
2023-04-11T21:54:35Z,qh2z8vvu,serial-reaction-time,1,R,1,1,45,2314,1,3,436.699999988079,433,X
