datetime,id,trial_type,correct,p_or_r,block,first_response,trial_number,sequence,is_practice,correct_pos,cumulative_rt,actual_triplet,triplet_type
2023-04-04T13:07:50Z,usnnjdm9,fullscreen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-04T13:08:44Z,usnnjdm9,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-04T13:08:50Z,usnnjdm9,html-keyboard-response,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-04T13:08:51Z,usnnjdm9,serial-reaction-time,1,R,1,1,1,4321,1,2,606.6000000014901,2,X
2023-04-04T13:08:52Z,usnnjdm9,serial-reaction-time,1,R,1,1,2,4321,1,4,551.5,24,X
2023-04-04T13:08:52Z,usnnjdm9,serial-reaction-time,1,R,1,1,3,4321,1,1,486.19999999925494,241,X
2023-04-04T13:08:53Z,usnnjdm9,serial-reaction-time,1,R,1,1,4,4321,1,1,459.6000000014901,411,X
2023-04-04T13:08:54Z,usnnjdm9,serial-reaction-time,1,R,1,1,5,4321,1,1,448.9000000022352,111,X
2023-04-04T13:08:54Z,usnnjdm9,serial-reaction-time,1,R,1,1,6,4321,1,4,433.0999999977648,114,X
2023-04-04T13:08:55Z,usnnjdm9,serial-reaction-time,1,R,1,1,7,4321,1,4,419.0999999977648,144,X
2023-04-04T13:08:55Z,usnnjdm9,serial-reaction-time,1,R,1,1,8,4321,1,4,390.19999999925494,444,X
2023-04-04T13:08:56Z,usnnjdm9,serial-reaction-time,1,R,1,1,9,4321,1,3,516.1000000014901,443,X
2023-04-04T13:08:57Z,usnnjdm9,serial-reaction-time,1,R,1,1,10,4321,1,1,435.0999999977648,431,X
2023-04-04T13:08:57Z,usnnjdm9,serial-reaction-time,1,R,1,1,11,4321,1,1,450.19999999925494,311,X
2023-04-04T13:08:58Z,usnnjdm9,serial-reaction-time,1,R,1,1,12,4321,1,3,539.3000000007451,113,X
2023-04-04T13:08:58Z,usnnjdm9,serial-reaction-time,1,R,1,1,13,4321,1,1,374.80000000074506,131,X
2023-04-04T13:08:59Z,usnnjdm9,serial-reaction-time,1,R,1,1,14,4321,1,1,428.69999999925494,311,X
2023-04-04T13:09:00Z,usnnjdm9,serial-reaction-time,1,R,1,1,15,4321,1,3,430.80000000074506,113,X
2023-04-04T13:09:00Z,usnnjdm9,serial-reaction-time,1,R,1,1,16,4321,1,2,548.0999999977648,132,X
2023-04-04T13:09:01Z,usnnjdm9,serial-reaction-time,1,R,1,1,17,4321,1,2,381.4000000022352,322,X
2023-04-04T13:09:01Z,usnnjdm9,serial-reaction-time,1,R,1,1,18,4321,1,2,398.30000000074506,222,X
2023-04-04T13:09:02Z,usnnjdm9,serial-reaction-time,1,R,1,1,19,4321,1,1,350.3999999985099,221,X
2023-04-04T13:09:02Z,usnnjdm9,serial-reaction-time,1,R,1,1,20,4321,1,4,430.1000000014901,214,X
