datetime,id,trial_type,correct,p_or_r,block,first_response,trial_number,sequence,is_practice,correct_pos,cumulative_rt,actual_triplet,triplet_type
2023-04-14T23:15:00Z,qt76109e,fullscreen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-14T23:15:04Z,qt76109e,html-keyboard-response,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-14T23:15:06Z,qt76109e,serial-reaction-time,1,R,1,1,1,1432,0,4,1019.7000000029802,4,X
2023-04-14T23:15:07Z,qt76109e,serial-reaction-time,1,P,1,1,2,1432,0,1,898.6000000014901,41,X
2023-04-14T23:15:09Z,qt76109e,serial-reaction-time,1,R,1,1,3,1432,0,4,1836.70000000298,414,T
2023-04-14T23:15:11Z,qt76109e,serial-reaction-time,1,P,1,1,4,1432,0,4,1820.5,144,H
2023-04-14T23:15:12Z,qt76109e,serial-reaction-time,1,R,1,1,5,1432,0,4,435.19999999552965,444,R
2023-04-14T23:15:15Z,qt76109e,serial-reaction-time,NA,P,1,1,6,1432,0,3,2717.89999999851,443,H
2023-04-14T23:15:15Z,qt76109e,serial-reaction-time,1,P,1,0,6,1432,0,3,3169.60000000149,443,H
2023-04-14T23:15:16Z,qt76109e,serial-reaction-time,NA,R,1,1,7,1432,0,1,732.6999999955297,431,L
2023-04-14T23:15:16Z,qt76109e,serial-reaction-time,1,R,1,0,7,1432,0,1,1193.9999999925494,431,L
2023-04-14T23:15:18Z,qt76109e,serial-reaction-time,1,P,1,1,8,1432,0,2,1233.2999999970198,312,H
2023-04-14T23:15:20Z,qt76109e,serial-reaction-time,1,R,1,1,9,1432,0,4,1800.7999999970198,124,H
2023-04-14T23:15:23Z,qt76109e,serial-reaction-time,1,P,1,1,10,1432,0,1,3295.8000000044703,241,H
2023-04-14T23:15:24Z,qt76109e,serial-reaction-time,1,R,1,1,11,1432,0,1,317.30000000447035,411,L
2023-04-14T23:15:25Z,qt76109e,serial-reaction-time,1,P,1,1,12,1432,0,4,1172.5,114,H
2023-04-14T23:15:27Z,qt76109e,serial-reaction-time,1,R,1,1,13,1432,0,1,1494.7000000029802,141,T
2023-04-14T23:15:27Z,qt76109e,serial-reaction-time,1,P,1,1,14,1432,0,3,405.5,413,H
2023-04-14T23:15:28Z,qt76109e,serial-reaction-time,1,R,1,1,15,1432,0,3,312.6000000014901,133,L
2023-04-14T23:15:28Z,qt76109e,serial-reaction-time,1,P,1,1,16,1432,0,2,392.8999999985099,332,H
2023-04-14T23:15:29Z,qt76109e,serial-reaction-time,1,R,1,1,17,1432,0,2,280.90000000596046,322,H
2023-04-14T23:15:29Z,qt76109e,serial-reaction-time,1,P,1,1,18,1432,0,1,528.5,221,H
2023-04-14T23:15:30Z,qt76109e,serial-reaction-time,1,R,1,1,19,1432,0,1,271.1000000014901,211,H
2023-04-14T23:15:30Z,qt76109e,serial-reaction-time,1,P,1,1,20,1432,0,4,344.1000000014901,114,H
2023-04-14T23:15:30Z,qt76109e,serial-reaction-time,1,R,1,1,21,1432,0,4,249.80000000447035,144,H
2023-04-14T23:15:31Z,qt76109e,serial-reaction-time,1,P,1,1,22,1432,0,3,337.1000000014901,443,H
2023-04-14T23:15:31Z,qt76109e,serial-reaction-time,1,R,1,1,23,1432,0,4,435,434,T
2023-04-14T23:15:32Z,qt76109e,serial-reaction-time,1,P,1,1,24,1432,0,2,436.70000000298023,342,H
2023-04-14T23:15:33Z,qt76109e,serial-reaction-time,1,R,1,1,25,1432,0,2,350.29999999701977,422,L
2023-04-14T23:15:33Z,qt76109e,serial-reaction-time,1,P,1,1,26,1432,0,1,329.59999999403954,221,H
2023-04-14T23:15:34Z,qt76109e,serial-reaction-time,1,R,1,1,27,1432,0,4,369,214,L
2023-04-14T23:15:34Z,qt76109e,serial-reaction-time,1,P,1,1,28,1432,0,4,373.79999999701977,144,H
2023-04-14T23:15:35Z,qt76109e,serial-reaction-time,1,R,1,1,29,1432,0,3,369.3999999985099,443,H
2023-04-14T23:15:35Z,qt76109e,serial-reaction-time,1,P,1,1,30,1432,0,3,377,433,H
2023-04-14T23:15:36Z,qt76109e,serial-reaction-time,NA,R,1,1,31,1432,0,1,387.29999999701977,331,L
2023-04-14T23:15:36Z,qt76109e,serial-reaction-time,1,R,1,0,31,1432,0,1,502.5,331,L
2023-04-14T23:15:36Z,qt76109e,serial-reaction-time,NA,P,1,1,32,1432,0,2,248.29999999701977,312,H
2023-04-14T23:15:36Z,qt76109e,serial-reaction-time,1,P,1,0,32,1432,0,2,512.1000000014901,312,H
2023-04-14T23:15:37Z,qt76109e,serial-reaction-time,1,R,1,1,33,1432,0,4,456.40000000596046,124,H
2023-04-14T23:15:38Z,qt76109e,serial-reaction-time,1,P,1,1,34,1432,0,1,462.79999999701977,241,H
2023-04-14T23:15:39Z,qt76109e,serial-reaction-time,1,R,1,1,35,1432,0,2,1316.2999999970198,412,L
2023-04-14T23:15:39Z,qt76109e,serial-reaction-time,1,P,1,1,36,1432,0,4,379.3999999985099,124,H
2023-04-14T23:15:40Z,qt76109e,serial-reaction-time,1,R,1,1,37,1432,0,1,442.5,241,H
2023-04-14T23:15:41Z,qt76109e,serial-reaction-time,1,P,1,1,38,1432,0,3,443.8999999985099,413,H
