datetime,id,trial_type,correct,p_or_r,block,first_response,trial_number,sequence,is_practice,correct_pos,cumulative_rt,actual_triplet,triplet_type
2022-12-02T18:25:48Z,c8cu3c3m,fullscreen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-02T18:25:51Z,c8cu3c3m,html-keyboard-response,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-02T18:25:53Z,c8cu3c3m,serial-reaction-time,1,R,1,1,1,3214,0,1,425,1,X
2022-12-02T18:25:53Z,c8cu3c3m,serial-reaction-time,1,P,1,1,2,3214,0,3,323,13,X
2022-12-02T18:25:54Z,c8cu3c3m,serial-reaction-time,1,R,1,1,3,3214,0,2,323,132,L
2022-12-02T18:25:54Z,c8cu3c3m,serial-reaction-time,1,P,1,1,4,3214,0,2,247,322,H
2022-12-02T18:25:55Z,c8cu3c3m,serial-reaction-time,1,R,1,1,5,3214,0,1,366,221,H
2022-12-02T18:25:55Z,c8cu3c3m,serial-reaction-time,1,P,1,1,6,3214,0,1,274,211,H
2022-12-02T18:25:55Z,c8cu3c3m,serial-reaction-time,1,R,1,1,7,3214,0,3,277,113,L
2022-12-02T18:25:56Z,c8cu3c3m,serial-reaction-time,NA,P,1,1,8,3214,0,4,210,134,H
2022-12-02T18:25:56Z,c8cu3c3m,serial-reaction-time,1,P,1,0,8,3214,0,4,496,134,H
2022-12-02T18:25:57Z,c8cu3c3m,serial-reaction-time,1,R,1,1,9,3214,0,4,344,344,L
2022-12-02T18:25:57Z,c8cu3c3m,serial-reaction-time,1,P,1,1,10,3214,0,3,339,443,H
2022-12-02T18:25:58Z,c8cu3c3m,serial-reaction-time,1,R,1,1,11,3214,0,2,289,432,L
2022-12-02T18:25:58Z,c8cu3c3m,serial-reaction-time,1,P,1,1,12,3214,0,2,218,322,H
2022-12-02T18:25:58Z,c8cu3c3m,serial-reaction-time,1,R,1,1,13,3214,0,2,292,222,R
2022-12-02T18:25:59Z,c8cu3c3m,serial-reaction-time,1,P,1,1,14,3214,0,1,338,221,H
2022-12-02T18:25:59Z,c8cu3c3m,serial-reaction-time,1,R,1,1,15,3214,0,1,280,211,H
2022-12-02T18:26:00Z,c8cu3c3m,serial-reaction-time,NA,P,1,1,16,3214,0,4,284,114,H
2022-12-02T18:26:00Z,c8cu3c3m,serial-reaction-time,1,P,1,0,16,3214,0,4,629,114,H
2022-12-02T18:26:00Z,c8cu3c3m,serial-reaction-time,1,R,1,1,17,3214,0,4,298,144,H
