datetime,id,trial_type,correct,p_or_r,block,first_response,trial_number,sequence,is_practice,correct_pos,cumulative_rt,actual_triplet,triplet_type
2023-03-16T13:55:43Z,5ckvwhwy,fullscreen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-16T13:55:47Z,5ckvwhwy,html-keyboard-response,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-16T13:55:50Z,5ckvwhwy,serial-reaction-time,1,R,1,1,1,4213,0,3,1185.5999999940395,3,X
2023-03-16T13:55:50Z,5ckvwhwy,serial-reaction-time,1,P,1,1,2,4213,0,4,368,34,X
2023-03-16T13:55:51Z,5ckvwhwy,serial-reaction-time,1,R,1,1,3,4213,0,4,390.7999999821186,344,H
2023-03-16T13:55:51Z,5ckvwhwy,serial-reaction-time,1,P,1,1,4,4213,0,2,540.0999999940395,442,H
2023-03-16T13:55:52Z,5ckvwhwy,serial-reaction-time,1,R,1,1,5,4213,0,3,506.199999988079,423,L
2023-03-16T13:55:53Z,5ckvwhwy,serial-reaction-time,1,P,1,1,6,4213,0,1,495.800000011921,231,H
2023-03-16T13:55:53Z,5ckvwhwy,serial-reaction-time,1,R,1,1,7,4213,0,3,382.90000000596046,313,T
2023-03-16T13:55:54Z,5ckvwhwy,serial-reaction-time,1,P,1,1,8,4213,0,3,285.89999997615814,133,H
2023-03-16T13:55:54Z,5ckvwhwy,serial-reaction-time,1,R,1,1,9,4213,0,1,392,331,L
2023-03-16T13:55:55Z,5ckvwhwy,serial-reaction-time,1,P,1,1,10,4213,0,4,476.2999999821186,314,H
2023-03-16T13:55:55Z,5ckvwhwy,serial-reaction-time,NA,R,1,1,11,4213,0,2,353.59999999403954,142,L
2023-03-16T13:55:56Z,5ckvwhwy,serial-reaction-time,1,R,1,0,11,4213,0,2,666.5,142,L
2023-03-16T13:55:56Z,5ckvwhwy,serial-reaction-time,1,P,1,1,12,4213,0,2,359.40000000596046,422,H
2023-03-16T13:55:57Z,5ckvwhwy,serial-reaction-time,1,R,1,1,13,4213,0,1,433.800000011921,221,H
2023-03-16T13:55:57Z,5ckvwhwy,serial-reaction-time,1,P,1,1,14,4213,0,1,244.39999997615817,211,H
2023-03-16T13:55:58Z,5ckvwhwy,serial-reaction-time,1,R,1,1,15,4213,0,1,374.300000011921,111,R
2023-03-16T13:55:58Z,5ckvwhwy,serial-reaction-time,1,P,1,1,16,4213,0,3,619.1999999880791,113,H
2023-03-16T13:55:59Z,5ckvwhwy,serial-reaction-time,1,R,1,1,17,4213,0,3,296.59999999403954,133,H
2023-03-16T13:55:59Z,5ckvwhwy,serial-reaction-time,1,P,1,1,18,4213,0,4,328.69999998807907,334,H
2023-03-16T13:56:00Z,5ckvwhwy,serial-reaction-time,1,R,1,1,19,4213,0,4,302.5,344,H
2023-03-16T13:56:01Z,5ckvwhwy,serial-reaction-time,1,P,1,1,20,4213,0,2,673.1999999880791,442,H
2023-03-16T13:56:01Z,5ckvwhwy,serial-reaction-time,1,R,1,1,21,4213,0,3,535.1000000238419,423,L
2023-03-16T13:56:02Z,5ckvwhwy,serial-reaction-time,1,P,1,1,22,4213,0,1,506.2999999821186,231,H
2023-03-16T13:56:02Z,5ckvwhwy,serial-reaction-time,NA,R,1,1,23,4213,0,2,252.9000000059605,312,L
2023-03-16T13:56:03Z,5ckvwhwy,serial-reaction-time,1,R,1,0,23,4213,0,2,658.1000000238419,312,L
2023-03-16T13:56:03Z,5ckvwhwy,serial-reaction-time,1,P,1,1,24,4213,0,3,373.800000011921,123,H
